Date,F/R,S/R,City
2016-05-07,45,85,Shillong
2016-05-06,43,39,Shillong
2016-05-04,76,63,Shillong
2016-05-03,47,65,Shillong
2016-05-02,70,93,Shillong
2016-04-30,13,19,Shillong
2016-04-28,88,14,Shillong
2016-04-27,77,35,Shillong
2016-04-26,31,78,Shillong
2016-04-25,22,48,Shillong
2016-04-23,16,89,Shillong
2016-04-22,88,99,Shillong
2016-04-21,95,26,Shillong
2016-04-20,78,0,Shillong
2016-04-19,79,26,Shillong
2016-04-18,89,46,Shillong
2016-04-16,32,77,Shillong
2016-04-14,28,80,Shillong
2016-04-13,95,76,Shillong
2016-04-12,15,8,Shillong
2016-04-09,83,30,Shillong
2016-04-08,24,22,Shillong
2016-04-07,25,41,Shillong
2016-04-06,76,87,Shillong
2016-04-05,21,61,Shillong
2016-04-02,63,15,Shillong
2016-04-01,67,18,Shillong
2016-03-31,36,92,Shillong
2016-03-30,12,77,Shillong
2016-03-29,70,98,Shillong
2016-03-28,66,15,Shillong
2016-03-26,55,35,Shillong
2016-03-23,58,79,Shillong
2016-03-22,65,23,Shillong
2016-03-21,90,94,Shillong
2016-03-19,3,3,Shillong
2016-03-18,81,7,Shillong
2016-03-17,60,12,Shillong
2016-03-16,86,0,Shillong
2016-03-15,94,42,Shillong
2016-03-14,51,79,Shillong
2016-03-12,84,4,Shillong
2016-03-11,64,19,Shillong
2016-03-10,81,46,Shillong
2016-03-09,46,59,Shillong
2016-03-08,96,60,Shillong
2016-03-07,24,38,Shillong
2016-03-05,37,28,Shillong
2016-03-03,38,99,Shillong
2016-03-02,35,75,Shillong
2016-03-01,34,26,Shillong
2016-02-29,59,86,Shillong
2016-02-27,70,85,Shillong
2016-02-26,79,94,Shillong
2016-02-25,24,94,Shillong
2016-02-24,51,46,Shillong
2016-02-23,2,39,Shillong
2016-02-22,88,53,Shillong
2016-02-20,68,17,Shillong
2016-02-19,88,31,Shillong
2016-02-18,72,49,Shillong
2016-02-17,16,74,Shillong
2016-02-16,96,88,Shillong
2016-02-15,19,42,Shillong
2016-02-13,62,80,Shillong
2016-02-12,30,77,Shillong
2016-02-11,98,47,Shillong
2016-02-10,30,0,Shillong
2016-02-09,74,69,Shillong
2016-02-08,15,36,Shillong
2016-02-06,38,85,Shillong
2016-02-05,20,40,Shillong
2016-02-04,70,26,Shillong
2016-02-03,79,83,Shillong
2016-02-02,36,5,Shillong
2016-02-01,42,62,Shillong
2016-01-30,52,40,Shillong
2016-01-29,20,89,Shillong
2016-01-28,54,93,Shillong
2016-01-27,79,42,Shillong
2016-01-25,38,97,Shillong
2016-01-22,60,61,Shillong
2016-01-21,78,78,Shillong
2016-01-20,88,33,Shillong
2016-01-19,77,86,Shillong
2016-01-18,69,96,Shillong
2016-01-16,59,60,Shillong
2016-01-15,69,31,Shillong
2016-01-14,74,91,Shillong
2016-01-13,6,31,Shillong
2016-01-12,25,88,Shillong
2016-01-11,17,55,Shillong
2016-01-09,62,31,Shillong
2016-01-08,35,10,Shillong
2016-01-07,17,21,Shillong
2016-01-06,87,70,Shillong
2016-01-05,63,97,Shillong
2016-01-04,80,33,Shillong
2016-01-02,24,2,Shillong
2015-12-31,70,81,Shillong
2015-12-29,25,75,Shillong
2015-12-28,27,48,Shillong
2015-12-24,64,96,Shillong
2015-12-23,82,14,Shillong
2015-12-22,44,15,Shillong
2015-12-21,49,0,Shillong
2015-12-17,50,65,Shillong
2015-12-16,68,96,Shillong
2015-12-15,30,77,Shillong
2015-12-14,27,92,Shillong
2015-12-12,80,0,Shillong
2015-12-11,53,87,Shillong
